ISBN,Autor,Titulo,Editora,Ano,Estante,Preco,Idioma,Capa,Peso,Dimensoes,Paginas
9788526000261,Rubem Braga,Os Melhores Contos,Global,1997,Contos,10,Português,Comum,220,21 x 14 cm,164
9788561784782,J. Setta,Peito Aberto,Pandorga,2014,Contos,10,Português,Comum,150,21 x 14 cm,112
9788567293455,Guilherme Oli; Outros,Remetente N. 15,Letras e Versos,2015,Contos,10,Português,Comum,325,23 x 16 cm,176
9788574022000,Celso Furtado,Formação Econômica do Brasil,Publifolha,2000,Economia,10,Português,Dura,376,21 x 13 cm,276
9788574022840,Stephen Brookson,Como Entender a Contabilidade,Publifolha,2001,Exatas,10,Português,Comum,136,18 x 13 cm,72
ND,Eduardo Almeira Reis,A Arte de Amolar o Boi,Círculo do Livro,ND,Ficção Brasileira,10,Português,Dura,333,20 x 13 cm,188
ND,Origenes Lessa; Teixeira Mendes,A Cigarra e a Revolta das Formigas,Edicoes de Ouro,1978,Ficção Brasileira,10,Português,Comum,113,16 x 11 cm,144
ND,Antonio Sampaio Dória,A Educação pela Espada,Ysayama,ND,Ficção Brasileira,10,Português,Comum,380,21 x 14 cm,312
9788508044474,Bernardo Guimarães,A Escrava Isaura,Atica,1995,Ficção Brasileira,10,Português,Comum,200,21 x 14 cm,134
ND,Bernardo Guimarães,A Escrava Isaura,LDA,1988,Ficção Brasileira,10,Português,Comum,89,18 x 13 cm,96
ND,Eça de Queirós,A Ilustre Casa de Ramires,Formar,1973,Ficção Brasileira,10,Português,Dura,428,22 x 15 cm,208
9788508043101,Joaquim Manuel de Macedo,A Moreninha,Atica,1996,Ficção Brasileira,10,Português,Comum,206,21 x 14 cm,136
ND,Joaquim Manuel de Macedo,A Moreninha; a Luneta Mágica,Tres,1972,Ficção Brasileira,10,Português,Dura,522,21 x 14 cm,312
ND,Roberto Drummond,A Morte de D. J. Em Paris,Ática,1977,Ficção Brasileira,10,Português,Comum,162,21 x 14 cm,98
ND,Jorge Edwards,A Mulher Imaginária,Rocco,1988,Ficção Brasileira,10,Português,Comum,373,21 x 14 cm,312
9788598581026,Alberico Rodrigues,A Saga de um Baiano na Cidade de São Paulo,Mentes Raras,2010,Ficção Brasileira,10,Português,Comum,390,21 x 16 cm,260
9788581300986,Vinícius Pinheiro,Abandonado,Geração Editorial,2015,Ficção Brasileira,10,Português,Comum,290,23 x 16 cm,186
9788587588012,Laé de Souza,Acontece...,Ecoarte,2011,Ficção Brasileira,10,Português,Comum,210,21 x 14 cm,128
9788525040329,Jean Wyllys,Ainda Lembro,Globo,2005,Ficção Brasileira,10,Português,Comum,200,21 x 14 cm,202
ND,José de Alencar,Alfarrabios; o Garatuja; o Ermitão da Glória; Outros,Formar,1971,Ficção Brasileira,10,Português,Dura,566,22 x 15 cm,278
9788575090183,Ana Ferreira,Amadora,Geração Editorial,2001,Ficção Brasileira,10,Português,Comum,260,21 x 14 cm,150
9788582790298,Richard Simonetti,Amor de Provação,Ceac,2016,Ficção Brasileira,10,Português,Comum,330,21 x 14 cm,256
9788587588104,Laé de Souza,"As 50 Melhores Crônicas do Ler é Bom, Experimente!",Ecoarte,2010,Ficção Brasileira,10,Português,Comum,180,21 x 14 cm,96
9788508036356,Emanuel da Veiga Garcia,As Duas Argentinas,Atica,1990,Ficção Brasileira,10,Português,Comum,98,18 x 12 cm,24
9788535919752,Jô Soares,As Esganadas,Companhia das Letras,2011,Ficção Brasileira,10,Português,Comum,396,21 x 14 cm,262
ND,José de Alencar,As Minas de Prata,Formar,1971,Ficção Brasileira,10,Português,Dura,851,22 x 15 cm,510
9788571038295,Patrick Joséph Clarke,Banalidades e Bem-aventuranças do Cotidiano,Puc Goias,2012,Ficção Brasileira,10,Português,Comum,243,21 x 15 cm,146
ND,José Mauro de Vasconcelos,Barro Blanco,Melhoramentos,1969,Ficção Brasileira,10,Português,Comum,344,21 x 14 cm,234
ND,Zibia Gasparetto,Bate-papo Com o Além,Vida & Consciência,ND,Ficção Brasileira,10,Português,Comum,210,21 x 14 cm,176
ND,Machado de Assis,Brás Cubas; a Semana; Correspondência,Formar,1971,Ficção Brasileira,10,Português,Dura,499,22 x 15 cm,224
9789685957878,Paulo Coelho,Brida,Grijalbo,2005,Ficção Brasileira,10,Espanhol,Comum,374,23 x 16 cm,270
9788555390562,Carol Sabar,Cabeças de Ferro,Jangada,2016,Ficção Brasileira,10,Português,Comum,490,23 x 16 cm,302
ND,Wagner Matias de Andrade,Causa e Efeito,Solucoes Criativas,ND,Ficção Brasileira,10,Português,Comum,229,22 x 15 cm,152
ND,James Amado,Chamado do Mar,Círculo do Livro,ND,Ficção Brasileira,10,Português,Dura,400,21 x 14 cm,310
ND,José de Alencar,Cinco Minutos; a Viuvinha; a Pata da Gazela; Outros,Formar,1971,Ficção Brasileira,10,Português,Dura,652,22 x 15 cm,342
9781495403811,Rafael Jadoski,Crônicas de Miramar - um Guia para o Viajante Desavisado,Createspace,2014,Ficção Brasileira,10,Português,Comum,80,20 x 13 cm,52
ND,Claudio Roberto Silva,Crônicas Florestais,Do Autor,ND,Ficção Brasileira,10,Português,Comum,200,21 x 15 cm,110
9788501061249,Fritz Utzeri,Dancing Brasil,Record,2001,Ficção Brasileira,10,Português,Comum,480,21 x 14 cm,334
9788556621849,Rachel Gutiérrez,Daqui e Dalém Mar,Jaguatirica,2019,Ficção Brasileira,10,Português,Comum,240,21 x 14 cm,166
ND,Wilson Frungilo Júnior,Do Outro Lado,Ide,1984,Ficção Brasileira,10,Português,Comum,182,19 x 13 cm,160
9788503003643,José Lins do Rego,Doidinho,José Olympio,1994,Ficção Brasileira,10,Português,Comum,215,21 x 14 cm,142
ND,Machado de Assis,Dom Casmurro,Garnier,1992,Ficção Brasileira,10,Português,Comum,287,21 x 14 cm,236
ND,Josué Guimarães,Dona Anja,Círculo do Livro,1982,Ficção Brasileira,10,Português,Dura,309,21 x 13 cm,160
ND,Jorge Amado,Dona Flor e Seus Dois Maridos,Record,1979,Ficção Brasileira,10,Português,Dura,538,22 x 15 cm,398
ND,Zibia Gasparetto,Entre o Amor e a Guerra,Vida & Consciência,1991,Ficção Brasileira,10,Português,Comum,323,21 x 14 cm,260
9788587588128,Laé de Souza,Espiando o Mundo pela Fechadura,Eco Arte,2011,Ficção Brasileira,10,Português,Comum,171,21 x 14 cm,96
ND,Castro Alves,Espumas Flutuantes,Sol,ND,Ficção Brasileira,10,Português,Comum,173,21 x 14 cm,158
9788588477070,Elizabeth Artmann,Eternamente Amigos,Butterfly,2001,Ficção Brasileira,10,Português,Comum,240,21 x 14 cm,136
9788500013546,Mauro Rasi,"Eu, Minhas Tias, Meus Gatos e Meu Cachorro: Crônicas",Ediouro,2003,Ficção Brasileira,10,Português,Comum,390,23 x 16 cm,252
ND,Jorge Amado,"Farda, Fardão, Camisola de Dormir",Círculo do Livro,1982,Ficção Brasileira,10,Português,Dura,332,21 x 13 cm,230
ND,Jorge Amado,"Farda, Fardão, Camisola de Dormir",Record,1979,Ficção Brasileira,10,Português,Dura,408,22 x 15 cm,240
9788574803425,Eliza Nazarian,Feito Eu,Ateliê,2007,Ficção Brasileira,10,Português,Comum,180,21 x 14 cm,110
9788657030097,Walter Tiemo (org),Fofelinos,Sysco,2022,Ficção Brasileira,10,Português,Comum,266,23 x 16 cm,128
ND,Machado de Assis,Helena,Edicoes de Ouro,ND,Ficção Brasileira,10,Português,Comum,152,16 x 11 cm,208
ND,Machado de Assis,Helena; a Mão e a Luva; Histórias da Meia-noite,Formar,1971,Ficção Brasileira,10,Português,Dura,572,22 x 15 cm,262
ND,Marco Aurelio Nogueira,Joaquim Nabuco,Brasiliense,1987,Ficção Brasileira,10,Português,Comum,77,15 x 11 cm,88
ND,João Antônio,Leão-de-chácara,Círculo do Livro,1976,Ficção Brasileira,10,Português,Dura,227,18 x 12 cm,138
9788501080707,Diogo Mainardi,Lula é Minha Anta,Record,2007,Ficção Brasileira,10,Português,Comum,330,21 x 14 cm,238
ND,Jorge Amado,Mar Morto,Record,1979,Ficção Brasileira,10,Português,Dura,363,22 x 15 cm,224
ND,Origenes Lessa,Memorias de um Fusca,Edicoes de Ouro,1972,Ficção Brasileira,10,Português,Comum,114,16 x 11 cm,144
ND,Machado de Assis,Memórias Póstumas de Brás Cubas,LDA,1988,Ficção Brasileira,10,Português,Comum,107,18 x 13 cm,128
9788501072245,Domingos Pellegrini,Meninos no Poder,Record,2005,Ficção Brasileira,10,Português,Comum,370,21 x 14 cm,288
9788539003426,Joaquim Ferreira dos Santos,Minhas Amigas,Objetiva,2012,Ficção Brasileira,10,Português,Dura,300,21 x 14 cm,208
9788579210976,Tereza Nacked Zaratin,Mulher Ninho,Terceira Margem,2016,Ficção Brasileira,10,Português,Comum,189,21 x 14 cm,122
9788501089526,Lya Luft,Múltipla Escolha,Record,2010,Ficção Brasileira,10,Português,Comum,280,21 x 14 cm,192
